split,phase,episode,raw_ae,raw_se,mid_ae,mid_se,calibrated_ae,calibrated_se
train,auction,0,0.027253799857436874,0.00093731241677249,0.0600000000000022,0.0036000000000002,0.027253799857436874,0.00093731241677249
train,auction,1,0.04014041922980119,0.0031202502189750635,0.2000000000000028,0.0400000000000011,0.04014041922980119,0.0031202502189750635
train,auction,2,0.01952505810856259,0.00045827058052093334,0.0999999999999943,0.0099999999999988,0.01952505810856259,0.00045827058052093334
train,auction,3,0.016459018692873875,0.00035298761147893116,0.1600000000000108,0.0256000000000034,0.016459018692873875,0.00035298761147893116
train,auction,4,0.07885303971187575,0.008029285224308883,0.0700000000000073,0.004900000000001,0.07885303971187575,0.008029285224308883
train,auction,5,0.020006720249531873,0.0005337379031578139,0.1400000000000005,0.0196000000000001,0.020006720249531873,0.0005337379031578139
train,auction,6,0.01415223488421729,0.00031040662815017575,0.2800000000000011,0.0784000000000006,0.01415223488421729,0.00031040662815017575
train,auction,7,0.015077666512424986,0.00044306095027516666,0.0699999999999931,0.004899999999999,0.015077666512424986,0.00044306095027516666
train,auction,8,0.01860807164354552,0.0007009101656564633,0.0700000000000073,0.004900000000001,0.01860807164354552,0.0007009101656564633
train,auction,9,0.054047584104764186,0.0035429229736964798,0.019999999999996,0.0003999999999998,0.054047584104764186,0.0035429229736964798
train,auction,10,0.04796458275939837,0.0029343708729316267,0.5600000000000023,0.3136000000000025,0.04796458275939837,0.0029343708729316267
train,auction,11,0.07497517447040133,0.00671172004995446,0.2000000000000028,0.0400000000000011,0.07497517447040133,0.00671172004995446
train,auction,12,0.022557682150242866,0.0006938172577591606,0.0900000000000034,0.0081000000000006,0.022557682150242866,0.0006938172577591606
train,auction,13,0.023631881469388306,0.00065531155907405,0.0799999999999983,0.0063999999999997,0.023631881469388306,0.00065531155907405
train,auction,14,0.033210591146701975,0.001355542281865901,0.2399999999999948,0.0575999999999975,0.033210591146701975,0.001355542281865901
train,auction,15,0.014082635276453441,0.00025684360205884666,0.0900000000000034,0.0081000000000006,0.014082635276453441,0.00025684360205884666
train,auction,16,0.09306748539674596,0.012555862952132906,0.6299999999999955,0.3968999999999942,0.09306748539674596,0.012555862952132906
train,auction,17,0.06437145946215798,0.011536165412173149,0.0900000000000034,0.0081000000000006,0.06437145946215798,0.011536165412173149
train,auction,18,0.06543752139511741,0.00869991711804423,0.4699999999999988,0.2208999999999989,0.06543752139511741,0.00869991711804423
train,auction,19,0.009045515940998894,0.0001233954843598094,0.1799999999999926,0.0323999999999973,0.009045515940998894,0.0001233954843598094
train,auction,20,0.016214853182652655,0.0005562035083016296,0.04000000000000619,0.0016000000000005,0.016214853182652655,0.0005562035083016296
train,auction,21,0.04263195914869391,0.0024144829354786315,0.25,0.0625,0.04263195914869391,0.0024144829354786315
train,auction,22,0.023088665025740793,0.0009391023471778385,0.0100000000000051,0.0001000000000001,0.023088665025740793,0.0009391023471778385
train,auction,23,0.04511645647463588,0.003242052510778157,0.049999999999997095,0.0024999999999997,0.04511645647463588,0.003242052510778157
train,auction,24,0.018073497761565683,0.0004734953909618618,0.0700000000000073,0.004900000000001,0.018073497761565683,0.0004734953909618618
train,auction,25,0.047721629231440896,0.002730019467612111,0.049999999999997095,0.0024999999999997,0.047721629231440896,0.002730019467612111
train,auction,26,0.025950489195787407,0.0009914264407568198,0.0999999999999943,0.0099999999999988,0.025950489195787407,0.0009914264407568198
train,auction,27,0.004720391326145063,5.3419923504419e-05,0.0099999999999909,9.99999999998181e-05,0.004720391326145063,5.3419923504419e-05
