run,episode,env_seed,phase,time,inventory,mid,q,phi,reward,cv,mc,q_error
cat811_v18,0,885226457,auction,149.0,2.8399245454389357,100.53,-4.70755672454834,-43.85903984430569,-44.657460439303385,0.0,-0.7984205949976939,-3.909136129550646
cat811_v18,0,885226457,auction,148.0,2.8399245454389357,100.53,-4.896310329437256,-43.08847199495101,0.008003200000000684,0.0,-1.5609852443523806,-3.3353250850848752
cat811_v18,0,885226457,auction,147.0,2.8399245454389357,100.53,-5.885997295379639,-36.27670621351581,0.008003200000000684,0.0,-8.364747825787582,2.478750530407943
cat811_v18,0,885226457,auction,146.0,2.8399245454389357,100.53,-6.153587818145752,-35.87942487434978,0.008000800000000684,0.0,-8.754028364953612,2.60044054680786
cat811_v18,0,885226457,auction,145.0,2.8399245454389357,100.53,-6.260221004486084,-28.83698403382128,0.008001599999999545,0.0,-15.788467605482111,9.528246600996027
cat811_v18,0,885226457,auction,144.0,2.8399245454389357,100.53,-6.3845367431640625,-28.365962374833373,0.008001599999999545,0.0,-16.25148766447002,9.866950921305957
cat811_v18,0,885226457,auction,143.0,2.8399245454389357,100.53,-6.533226490020752,-27.49686049690498,0.008000800000000684,0.0,-17.112588742398415,10.579362252377663
cat811_v18,0,885226457,auction,142.0,2.8399245454389357,100.53,-6.672220230102539,-24.732684863555054,0.007999999999999546,0.0,-19.868764375748338,13.196544145645799
cat811_v18,0,885226457,auction,141.0,2.8399245454389357,100.53,-6.759514331817627,-22.81635655567758,0.007999999999999546,0.0,-21.77709268362581,15.017578351808183
cat811_v18,0,885226457,auction,140.0,2.8399245454389357,100.53,-6.892714977264404,-21.449467237210563,0.007999200000000683,0.0,-23.135982802092826,16.243267824828422
cat811_v18,0,885226457,auction,139.0,2.8399245454389357,100.53,-7.007606029510498,-19.01119988302345,0.007998400000000683,0.0,-25.56625175627994,18.55864572676944
cat811_v18,0,885226457,auction,138.0,2.8399245454389357,100.53,-7.1330060958862305,-17.274702149107732,0.007996800000000684,0.0,-27.294752690195658,20.161746594309427
cat811_v18,0,885226457,auction,137.0,2.8399245454389357,100.53,-7.1304450035095215,-14.760629790679996,0.007997599999999546,0.0,-29.80082744862339,22.67038244511387
cat811_v18,0,885226457,auction,136.0,2.8399245454389357,100.53,-7.252345085144043,-14.588196368769799,0.007996000000000681,0.0,-29.965264870533588,22.712919785389545
